276, -3997165, -5591120, -6358670
277, -3997165, -5565718, -6268883
278, -3997165, -5610984, -6274008
279, -3997165, -5752796, -25451994
280, -3997165, -5665074, -6293397
281, -3997165, -5650736, -6503923
282, -3997165, -5642427, -6297367
283, -3997165, -5631461, -6375728
284, -3996856, -5620405, -6289250
285, -3969443, -5601950, -6514235
286, -3969443, -5612176, -6415675
287, -3969443, -5573426, -6370049
288, -3969443, -5575082, -6397388
289, -3969443, -5573346, -6570110
290, -3969443, -5567191, -6327933
291, -3969443, -5611990, -6473483
292, -3969443, -5579700, -6376576
293, -3969443, -5589747, -6232990
294, -3969443, -5565252, -6306536
295, -3969443, -5596229, -6267379
296, -3969443, -5611255, -6352891
297, -3969443, -5613653, -6398377
298, -3943773, -5699137, -24554041
299, -3943773, -5612143, -6420196
300, -3943773, -5638063, -6346703
